Nº             REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
1;CASTELBAMBA;RIOBAMBA ;345;4978970/19;428 personas;"""C""";INSCRIPCION VENCIDA;1;24/02/2005;18;20/02/2019;158;12/12/2005
2;GOLDEN;ESMERALDA ;1040;10561/05;408 personas;"""C.C""";SUSPENDIDO DISFC-2016-77-DGFYC;3;24/02/2005;45;23/03/2016;98;08/08/2005
3;REY CASTRO;PERU ;342;33637425/21;901 personas;"""C""";RENOVADO 2021;4;01/03/2005;54;19/11/2021;67;24/04/2006
4;LA FRANCE;SARMIENTO ;1656;10332362/22;1372 personas;"""C.C""";RENOVADO 2022;5;01/03/2005;6;02/05/2022;136;29/09/2005
5;BAHREIN ;LAVALLE ;343;32207478/22;880 personas;"""C""";RENOVADO 2022;6;01/03/2005;34;28/09/2022;95;06/11/2007
6;BELLA ROMA;ROGELIO YRURTIA;6020;10615/05;900 personas;"""C""";"SUSPENDIDO Disp.
108/09 conjunta";7;02/03/2005;73;25/06/2009;86;23/06/2006
7;"CLUB 
SHAMPOO";QUINTANA ;362;7497291/20;220 personas;"""C"" ";INSCRIPCION VENCIDA;8;02/03/2005;28;04/03/2020;88;27/07/2005
8;CITY HALL ;AV. MOSCONI ;2883/5;05727574/20;1434 personas;"""C""";INSCRIPCION VENCIDA;9;03/03/2005;23;27/02/2020;77;27/06/2005
9;IVANOFF;RIVADAVIA ;7514/18;05837907/20;323 personas;"""C.C""";INSCRIPCION VENCIDA;10;03/03/2005;20;19/02/2020;127;13/09/2005
10;"MALUCO 
BELEZA";SARMIENTO ;1728;32369013/21;1076 personas;"""C""";RENOVADO 2021;11;03/03/2005;49;05/11/2021;92;11/07/2006
11;XEL - HA;AV SAN M ARTÍN ;6628;30451633/22;692 personas;"""C""";RENOVADO 2022;12;03/03/2005;21;13/09/2022;70;10/06/2005
12;CLOCHE;J.E. URIBURU;1721;5177597/18 ;588 personas;"""C""";INSCRIPCION VENCIDA 7/03/2019;13;03/03/2005;25;07/03/2018;78;04/07/2005
13;SUDACA;SARMIENTO ;1752;30589093/22;980 personas;"""C""";RENOVADO 2022;18;07/03/2005;20;13/09/2022;134;05/08/2013
14;MOLIERE;BALCARCE ;678/82;32548414/22;531 personas;"""C.C""";RENOVADO 2022;19;09/03/2005;29;27/09/2022;69;20/07/2017
15;AZUCAR ;AV. CORRIENTES ;3328;12571/05;622 personas;"""c""";"BAJA INSC.Disp. 
02/14 conjunta";16;03/03/2005;116;25/06/2013;88;23/06/2006
16;WESTERN ;F. ALCORTA ;7536;33997051/22;320 personas;"""C""";RENOVADO 2022;17;03/03/2005;45;13/102022;89;06/07/2006
17;GONG;AV. CÓRDOBA ;634;27042044/22;200 personas;"""C""";RENOVADO 2022;20;10/03/2005;18;25/08/2022;51;23/03/2006
18;RUMI;F. ALCORTA;6438/42;10834/05;765 personas;"""C.C""";BAJA INSC. Disp.40/13;21;10/03/2005;31;09/03/2012;149;02/11/2005
19;EVELYN;AV. RIVADAVIA ;7425;4648824/20;452 personas;"""C.C""";INSCRIPCION VENCIDA;22;10/03/2005;21;18/02/2020;135;29/09/2005
20;PALACIO ALSINA;ALSINA ;934/44;30599518/22;2140 personas;"""C""";RENOVADO 2022;23;10/03/2005;22;14/09/2022;9;02/02/2017
21;NICETO CLUB ;NICETO VEGA ;5508;30499927/22;1118 personas;"""C""";RENOVADO 2022;24;10/03/2005;26;22/09/2022;58;06/05/2005
22;CHANA CLUB;PIERINA DEALESSI;751;32205890/21;490 personas;"""C""";RENOVADO 2021;25;10/03/2005;61;23/12/2021;22;18/02/2020
23;GLAM ;JOSÉ A. CABREREA ;3046/48;33303046/21;489 personas;"""C.C""";RENOVADO 2021;26;11/03/2005;52;09/11/2021;60;10/05/2007
24;"NEW 
METROPOLIS";AV. SANTA FE ;4389;10628/05;1602 personas;"""C""";"BAJA INSC.Disp. 
77/2008 conjunta";27;11/03/2005;;;145;17/10/2005
25;TIRO LOCO;VICENTE LOPEZ ;2188;11118/05;177 personas;"""C.C""";"BAJA INSC:Disp. 
Conjunta N° 007/2010";28;14/03/2005;38;17/03/2006;38;17/03/2006
26;PALERMO CLUB ;BORGES ;2450;6931463/20;650 personas;"""C""";INSCRIPCION VENCIDA;29;14/03/2005;32;06/03/2020;121;18/08/2005
27;TABASCO;JOSÉ MARTÍ ;17;30918781/21;999 personas;"""C""";RENOVADO 2021;30;15/03/2005;45;03/11/2021;108;27/08/2010
28;OPERA BAY;CECILIA GRIERSON ;225;10674/05;1239 personas;"""C.C""";"BAJA INSC. Disp. 
44/2008 conjunta";31;15/03/2005;48;30/03/2007;32;17/03/2006
29;BELLAKEO NIGHT;AV. RIVADAVIA ;7428;31459549/21;1260 personas;"""C""";RENOVADO 2021;32;15/03/2005;48;04/11/2021;35;17/03/2006
30;"AZUCAR 
BELGRANO";AV. CABILDO;2040;10832/05;521 personas;"""C""";"BAJA INSC: Disp. 
Conjunta N°47/2010";33;16/03/2005;114;18/12/2009;90;14/09/2007
31;FRERE;OLLEROS ;1775;33425775/22;650 personas;"""C""";RENOVADO 2022;34;16/03/2005;42;06/10/2022;19;04/03/2009
32;SAHARA;JUNIN ;1735;10658/05;870 personas;"""C""";BAJA INSC: Disp. Conjunta N° 74/11;35;17/03/2005;43;19/03/2010;46;23/03/2006
33;NEW PORT;JUNIN ;1715/19;10566/05;295 personas;"""C.C""";BAJA INSCRPICION:DISFC-2015-55-DGFYC;36;17/03/2005;42;01/04/2015;54;23/03/2006
34;LATINO 11;ECUADOR ;60;36351283/21;1540 personas;"""C""";RENOVADO 2021;37;18/03/2005;58;10/12/2021;34;17/03/2006
35;TEATRO FLORES;RIVADAVIA ;7802/12;33755809/22;1872 personas;"""C""";RENOVADO 2022;38;18/03/2005;46;13/10/2022;144/150;05/10/2005
36;BRONCO;O´BRIEN;1160;10827/05;1646 personas;"""C""";INSCRIPCION VENCIDA;39;18/03/2005;24;16/03/2007;147;21/10/2005
37;AMNESIA;AV. NAZCA ;55;10617/05;778 personas;"""C.C""";INSCRIPCION VENCIDA;120;20/10/2010;100;20/10/2016;91;09/10/2007
38;CAIX;"R. OBLIGADO 
Y SALGUERO";sin nº;36009432/22;1764 personas;"""C""";RENOVADO 2022;41;18/03/2005;50;14/10/2022;134;28/09/2005
39;LE PRIVE;AV. SAN MARTÍN;6101;10583/05;68 personas;"""C""";INSCRPCION VENCIDA;42;21/03/2005;44;23/03/2007;52;23/03/2006
40;MUSEUM;PERU ;529;10666/05;1952 personas;"""C""";INSCRIPCION VENCIDA;43;22/03/2005;36;27/03/2009;80;13/07/2005
41;ANGEL´S DISCO;VIAMONTE ;2168/70;11627/05;425 personas;"""C""";INSCRIPCION VENCIDA;44;22/03/2005;46;31/03/2016;92;29/07/2005
42;SODOMA;VICENTE LOPEZ ;2233;10671/05;300  personas;"""C.C""";"SUSPENDIDO Disp. Nº 
26/DGHP/08";45;22/03/2005;1;18/01/2007;1;18/01/2007
43;CLUB ARÁOZ;ARAOZ ;2422;31103825/22;1030 personas;"""C""";RENOVADO 2022;46;23/03/2005;30;28/09/2022;73;17/06/2005
44;MANDARINE;"R. OBLIGADO 
Y SARMIENTO";sin nº;34319712/22;1613 personas;"""C""";RENOVADO 2022;47;23/03/2005;38;05/10/2022;38;23/03/2009
45;LA DIOSA-VIDU;R. OBLIGADO ;3731;10604/05;1558 personas;"""C""";BAJA INSCRIPCION DISFC-2013-127-DGFYC;48;23/03/2005;123;17/09/2012;107;29/09/2011
46;EL FOGÓN;AGÜERO ;512;13661/05;274 personas;"""C.C""";BAJA INSC: Disp N°94/12;49;23/03/2005;46;23/03/2012;55;23/03/2006
47;SALON AGUSTEO;SARMIENTO ;1374;10587/05;;ART 1º;"BAJA INSC: Disp. 
Nº 30/DGHP/2008";50;23/03/2005;;;;
48;MAZA CLUB;AV. RIVADAVIA ;3469;31320903/21;1270 personas;"""C""";RENOVADO 2021;51;01/04/2005;39;29/10/2021;160;22/12/2005
49;TEATRO VORTERIX;F. LACROZE ;3453;7127329/19;1584 personas;"""C.C""";INSCRIPCION VENCIDA;52;01/04/2005;44;27/03/2019;7;04/01/2006
50;PAGANA;VICENTE LOPEZ ;2134;13361/05;364 personas;"""C.C""";INSCRIPCION VENCIDA;53;21/04/2005;76;30/05/2014;66;21/04/2006
51;POPULARISIMO ;BARTOLOME MITRE ;2737;10662/05;200 personas;"""C""";BAJA DE INSCRIPCION ;4;14/02/2007;71;05/05/2006;71;05/05/2006
52;EL PICAFLOR;AV. CORRIENTES ;3530;18874134/19;550 personas;"""C""";INSCRIPCION VENCIDA;56;04/05/2005;65;17/07/2019;65;17/07/2019
53;MIND;AV CABILDO ;4665;17182301/19; 883 personas;"""C""";INSCRIPCION VENCIDA;57;04/05/2005;63;19/06/2019;61;19/06/2018
54;THE SHAMROCK;RODRIGUEZ PEÑA ;1220;9266485/19;396 personas;"""C.C""";INSCRIPCION VENCIDA;64;18/05/2005;52;24/04/2019;63;12/05/2006
55;CLUB 74;"FIGUEROA 
ALCORTA ";7474;10836/05;180 personas;"""B""";INSCRIPCION VENCIDA;65;18/05/2005;77;09/06/2014;76;01/06/2006
56;MONTECARLO;MEXICO ;1861/63;10673/05;460 personas;"""C""";INSCRIPCION VENCIDA;66;08/06/2005;61;16/06/2017;6;10/01/2006
57;SET;AV. LA PLATA  ;731/33;14678270/19;1593 personas;"""C.C""";INSCRIPCION VENCIDA;67;08/06/2005;57;23/05/2019;67;08/06/2005
58;CATTOS;SUIPACHA ;930;20218/05;100 personas;"""C.C""";INSCRIPCION VENCIDA;68;08/06/2005;82;24/06/2014;93;04/08/2005
59;INK;NICETO VEGA  ;5635; 23254383/19;409 personas;"""C.C""";INSCRIPCION VENCIDA;69;08/06/2005;73;08/08/2019;79;09/06/2006
60;RADIO STUDIO;O`BRIEN ;1232;32964562/21;3050 personas;"""C""";RENOVADO 2021;72;13/06/2005;51;05/11/2021;104;27/11/2008
61;EL TEATRITO;SARMIENTO ;777;24459/05;538 personas;"""C""";"BAJA  INSC: Disp. 
Conjunta 92/2010";74;17/06/2005;105;19/11/2009;127;17/11/2006
62;AMERIKA;GASCON  ;1036;38644053/21;2450 personas;"""C""";RENOVADO 2022;84;14/07/2005;4;18/02/2022;158;20/12/2012
63;REQUIEM GOTIC;AV. DE MAYO  ;948;24460/05;186 personas;"""C.C""";INSCRIPCION VENCIDA;85;19/07/2005;90;10/07/2006;19;06/03/2006
64;GREAT CITY;RECONQUISTA;876/78;14498/05;208 personas;"""C.C""";SUSPENDIDO DISFC-2016-58-DGFYC;87;22/07/2005;84;14/08/2015;5;10/01/2006
65;PACHA;"COSTANERA
 Y PAMPA";sin nº;30712/05;1942 personas;"""C""";BAJA INSCRPICION: DISFC-2015-80-DGFYC;91;29/07/2005;97;20/08/2014;105;20/08/2010
66;MADAHOS;AZCUENAGA;1902;14781/05;396 personas;"""C""";BAJA INSCRIPCION DISP. Nº 65/2013;128;15/09/2005;125;28/09/2012;128;15/09/2005
67;THE FLOWER;AGÜERO;445;27818279/22;405 personas;"""C""";RENOVADO 2022;156;18/11/2005;17;25/08/2022;156;18/11/2005
68;LA PEÑA;AV. RIVADAVIA;1908/12;3113611/21;990 personas;"""C.C""";RENOVADO 2021;159;14/12/2005;32;22/10/2021;159;14/12/2005
69;MBURUKUJA;SALTA;1736/48;61556/05;1140 personas;CLUB ART 1º;INSCRIPCION VENCIDA;7;13/01/2006;7;02/02/2017;7;13/01/2006
70;VIRUS 10,1;RIVADAVIA;7523;31138469/21;216 personas;"""C.C""";RENOVADO 2021;12;21/02/2006;29;22/10/2021;12;21/02/2006
71;PISO 1;JUNIN;1787;76735/05;150 personas;"""C.C""";BAJA INSCRIPCION DISP. Nº 05/10;45;23/03/2006;;;45;23/03/2006
72;CROBAR;AV. LIBERTADOR;3883;34584440/22;2258 personas;"""C""";RENOVADO 2022;57;30/03/2006;43;13/10/2022;89;09/10/2008
73;ESPERANTO;AV JUAN B. JUSTO;1625;86918/05;572 personas;"""C.C""";INSCRIPCION VENCIDA;59;03/04/2006;50;01/04/2016;8;22/01/2010
74;MÁGICO;AV. RIVADAVIA;10925;7653142/19;1320 personas;"""C""";RENOVADO 2021;60;04/04/2006;57;30/11/2021;58;23/04/2007
75;MUNDO LATINO;ESMERALDA ;565;8670439/19;300 personas;"""C.C""";RENOVADO 2021;62;12/04/2006;58;10/12/2021;102;12/11/2009
76;DORSIA;"A.  MOREAU 
DE JUSTO";2092;29891987/21;679 personas;"""C""";RENOVADO 2021;65;21/04/2006;28;21/10/2021;83;18/06/2010
77;LA MADELEINE;"A.  MOREAU
 DE JUSTO";102/112;80621/05;205  personas;"""C.C""";INSCRPCION VENCIDA;75;01/06/2006;82;12/06/2012;75;01/06/2006
78;LA CITY;"AV. ALVAREZ 
THOMAS";1391/93;31524841/21;940 personas;"""C""";RENOVADO 2021;85;23/06/2006;35;27/10/2021;85;23/06/2006
79;BRUJAS;J.L. BORGES;1640;31428451/22;264 personas;"""C""";RENOVADO 2022;94;17/07/2006;27;22/09/2022;108;13/06/2013
80;RUANO;AZCUENAGA;1775 1º;30156615/19;254 personas;"""C.C""";RENOVADO 2021;100;11/08/2006;56;26/11/2021;100;11/08/2006
81;UNI CLUB;GUARDIA VIEJA;3360;31247942/22;630 personas;"""C""";RENOVADO 2022;101;11/08/2006;36;29/09/2022;97;16/11/2007
82;POR VOS BS AS;BALCARCE ;563 P.B;38142/06;586 personas;"""C""";"BAJA INSC: Disp
. Nº 002/2010";122;02/11/2006;98;12/11/2008;83;29/08/2008
83;LO DE CELIA;"HUMBERTO 
PRIMO";1783 1°P;22159527/17;150 personas;"""C.C""";BAJA INSC: DISFC-2018-108-DGFYC;123;02/11/2006;102;10/11/2017;123;02/11/2006
84;CONTRAMANO;"RODIGUEZ 
PEÑA ";1082 PB;26552605/17 ;335 personas;C C;INSCRIPCION VENCIDA;115;04/12/2015;109;07/12/2017;56;23/04/2007
85;KIMIA;SANTA FE ;4999;81034/06;958  personas   ;C;INSCRIPCION VENCIDA;3;14/02/2007;79;07/08/2009;77;13/07/2007
86;ARENA SUR;AV. SAENZ;459;32643473/22;2346 personas;C;RENOVADO 2022;5;23/02/2007;35;28/09/2022;90;23/10/2008
87;SEU ;AV. BOYACA ;28;13129923/22;186 personas;"""C.C""";RENOVADO 2022;34;16/03/2007;5;28/04/2022;34;16/03/2007
88;KIKA;HONDURAS;5339/47;320472/22;1100 personas;"""C""";RENOVADO 2022;35;16/03/2007;41;06/10/2022;35;16/03/2007
89;LA VENTANA;BALCARCE ;425/31;89485/06;449 personas;C C;BAJA INSC: DISP. N° 113/12;59;10/05/2007;75;28/05/2012;59;10/05/2007
90;COCOLICHE;AV. RIVADAVIA;878;30700955/19;268 personas;C;INSCRIPCION VENCIDA;62;11/05/2007;90;16/10/2019;62;11/05/2007
91;"LOCOS X EL 
FUTBOL";VICENTE LOPEZ ;2056/69;11045/07;300 personas;CC;"BAJA INSC: Disp.
 Nº 003/2010";75;02/07/2007;72;18/07/2008;75;02/07/2007
92;JET;"AV.RAFAEL 
OBLIGADO";4801;83133/05;688 personas;C;BAJA INSCRIPCION DISP Nº 88/16;81;09/08/2007;83;11/08/2016;109;19/12/2008
93;BLACK;AYACUCHO;1981;28278/07;210 personas;C C;BAJA INSCRIPCION DISP Nº 64/2013;88;31/08/2007;115;27/08/2012;88;31/08/2007
94;PORTO SOHO;SCALABRINI ORTIZ;1425/29;33367164/22;604personas;"""C""";RENOVADO 2022;96;16/11/2007;40;05/10/2022;134;18/11/2011
95;ACQUA LOUNGE;JUANA MANSO;305 PB;19740/07;214 personas;C C;INSCRIPCIÓN VENCIDA;101;06/12/2007;25;06/03/2014;101;06/12/2007
96;VIPER;JURAMENTO ;1531/43;34028976/22;238 personas;C C;RENOVADO 2022;104;21/12/2007;44;13/10/2022;104;21/12/2007
97;PRIVILEGE BA;"AV. RAFAEL 
OBLIGADO";1221;47762/07;2966 personas;"""C""";INSCRPCIÓN VENCIDA;526;27/02/2008;129;05/12/2014;526;20/02/2008
98;MORENA DISCO;"AV. JUAN B. 
ALBERDI";2829/39;12206667/19;504 personas;"""C""";INSCRIPCION VENCIDA;86;04/09/2008;54;03/05/2019;86;04/09/2008
99;VOX;"AV. HIPOÍLITO
 IRIGOYEN";968;31553118/22;532 personas;"""C""";RENOVADO 2022;94;07/11/2008;24;20/09/2022;94;07/11/2008
100;MORENA;AV. RIVADAVIA ;7217;54743/08;922 personas;"""C""";BAJA DE INSCRIPCION ;95;05/11/2008;174;15/11/2013;95;05/11/2008
101;THE SUB;AV. CÓRDOBA ;543;28801811/21;415 personas;C C;RENOVADO 2021;100;14/11/2008;46;04/11/2021;100;14/11/2008
102;CLUB 947;CHACABUCO;947/55;3226849122;1702 personas;ART 1º;RENOVADO 2022;103;17/11/2008;31;28/09/2022;25;04/03/2011
103;LIQUID;AV. SANTA FÉ;3651;38671547/19;576 personas;C;INSCRIPCION VENCIDA;3;11/02/2009;4;18/01/2019;71;18/05/2012
104;BLOW;NICETO VEGA;5681/99;36822737/21;333 personas;"""C.C""";RENOVADO 2021;47;01/04/2009;59;14/12/2021;47;01/04/2009
105;INPUT;AV. JUAN B. JUSTO ;1658;3635472/22;742 personas;C;RENOVADO 2022;53;24/04/2009;3;11/02/2022;103;20/08/2010
106;JANNOY;AV. CORDOBA;2988;10658549/19;448 personas;C;INSCRIPCION VENCIDA;54;30/04/2009;51;24/04/2019;54;30/04/2009
107;CIRCUS;"AV. HIPÓLITO
 YRIGOYEN";947;32233239/22;400 poersonas;"""C""";RENOVADO 2022;70;19/06/2009;47;13/10/2022;70;19/06/2009
108;"HONDURAS 
HOLLYWOOD";HONDURAS;5535;48909/09;356 personas;C.C;BAJA DE INSCRIPCION DISP Nº70/14.;83;14/08/2009;175;15/11/2013;83;14/08/2009
109;WET CLUB;AV. NICETO VEGA;5534/36;48222/09;272 personas;C.C; INSCRIPCION VENCIDA;87;28/08/2009;116;20/10/2011;87;28/08/2009
110;TEQUILA;"AV. RAFAEL 
OBLIGADO";6211;31149268/22;335 personas;"""C""";RENOVADO 2022;94;16/10/2009;23;20/09/2022;118;15/10/2010
111;MAGNOLIA;"A.  MOREAU 
DE JUSTO";1007;1082617/09;100 personas;"""C.C""";SUSPENDIDO;95;23/10/2009;108;30/09/2011;95;23/10/2009
112;NON SERVIAM;SARMIENTO ;667;1927/09;1100 personas;"""C""";INSCRIPCION VENCIDA;104;12/112009;129;11/11/2011;104;12/11/2009
113;LA CAPILLA;SUIPACHA ;842;1445687/09;220 personas;"""C.C""";BAJA PREVENTIVA POR DISFC Nº107/16;113;18/12/2009;116;17/12/2015;113;18/12/2009
114;MÓDENA DESIGN;"FIGUEROA 
ALCORTA ";2270; 48.226/09.;581 personas;"""C""";INSCRIPCIÓN VENCIDA;116;30/12/2009;1;06/01/2014;116;30/12/2009
115;HIPOLITO CLUB;"HIPOLITO
 YRIGOYEN ";847/8;18225/10;958 personas;"""C""";BAJA PROVISORIA;4;15/01/2010;126;28/11/2014;4;15/01/2010
116;NEO CLUB;SANTOS DUMONT;4056/60;1544367/09;500 personas;"""C""";INSCRIPCIÓN VENCIDA;10;29/01/2010;11;24/02/2012;10;29/01/2010
117;GROOVE;AV. SANTA FE ;4389/99;30125646/22;1685 personas;"""C""";RENOVADO 2022;51;31/03/2010;19;13/09/2022;51;31/03/2010
118;ESVEDRA;BALCARCE ;563;30196522/19;586 personas;"""C""";INSCRIPCION VENCIDA;123;22/10/2010;89;11/10/2019;123;22/10/2010
119;LOOP;AV. BEIRO;3124/28;1527712/10;247 personas;"""C.C""";INSCRIPCION VENCIDA;150;28/12/2010;66;24/05/2016;150;28/12/2010
120;"TERRAZAS 
DEL ESTE";"R. OBLIGADO 
Y SARMIENTO";;34157936/22;3095 personas;"""C""";RENOVADO 2022;10;10/02/2011;37;05/10/2022;118;27/12/2016
121;VELVET;AV. CABILDO;3241;32834801/22;900 personas;"""C""";RENOVADO 2022;1;10/01/2011;39;05/10/2022;1;10/01/2011
122;YOUR CLUB;SUIPACHA ;586;21454109/22;520personas;"""C""";RENOVADO 2022;43;23/03/2011;14;11/08/2022;43;23/03/2011
123;WANNA;DARWIN ;1574;12638018/19;539 personas;"""C""";INSCRIPCION VENCIDA;59;28/04/2011;55;03/05/2019;31;10/03/2017
;;Av. J. B. JUSTO;1634;;;;;;;;;;
124;RIVADAVIA 9131;Av. RIVADAVIA;9131;316734/11;120 personas;"""C.C""";SUSPENDIDO;63;13/05/2011;70;18/05/2012;63;13/05/2011
125;PIZZA BANANA;"AV. RAFAEL 
OBLIGADO";6201;736109/11;1143 personas;"""C""";INSCRIPCION VENCIDA;68;20/05/2011;59;29/05/2015;68;20/05/2011
126;WHO;EMMA DE LA BARRA;333;990186/11;490 personas;"""C""";INSCRIPCION VENCIDA;89;22/07/2011;;;89;22/07/2011
127;BOUTIQUE;PERÚ;529/35/41;26696922/21;1950 personas;"""C""";RENOVADO 2021;93;18/08/2011;27;21/10/2021;93;18/08/2011
128;OPIUM GARDEN;AV. JUAN B. JUSTO ;1659/75;1653447/11;626 personas;;BAJA INSCRIPCION;111;07/10/2011;154;10/10/2013;111;07/10/2011
129;VIEJO CORREO;AV. DIAZ VELEZ;4820;37589/09;300 personas;"""C""";INSCRIPCION VENCIDA;119;04/11/2011;133;18/12/2015;119;04/11/2011
130;ROSEBAR;HONDURAS;5445;24959239/17;1370 personas;"""C""";INSCRIPCION VENCIDA;139;29/11/2011;105;15/11/2017;139;29/11/2011
131;OYE CHICO;MONTEVIDEO ;306/50;29298431/17;200 personas;"""C.C""";BAJA INSCRIPCION POR DISFC Nº 06/18;146;22/12/2011;116;21/12/2016;146;22/12/2011
132;ONE MORE CLUB;AV. BEIRO;3334/6;31685202/21;480 personas;"""C""";RENOVADO 2021;12;24/02/2012;34;27/10/2021;12;24/02/2012
133;BK;AV. JUAN B. JUSTO ;1574;6944892/18;961 personas;"""C""";INSCRIPCION VENCIDA;33;09/03/2012;39;22/03/2018;49;27/03/2014
134;ROOM;Av. SCALABRINI ORTIZ;1648/50;18286906/18;784 personas;"""C""";INSCRIPCION VENCIDA;96;06/07/2012;63;06/07/2018;96;06/07/2012
135;FRIDHA;Av. DORREGO;1735/9;35450389/21;187personas;"""C.C""";RENOVADO 2021;131;18/10/2012;60;22/12/2021;131;18/10/2012
136;POUND;Av. SARMIENTO Y CASARES;;1670344/12;894 personas;C;INSCRIPCION VENCIDA;142;07/11/2012;131;05/12/2014;142;07/11/2012
137;LARC;AV. NICETO VEGA;5452;32305510/19;980 personas;C;INSCRIPCION VENCIDA;144;16/11/2012;97;15/11/2019;144;16/11/2012
138;GOLDEN CLUB;BALCARCE ;605;624031/20;425 personas;C;INSCRIPCION VENCIDA;1;02/01/2013;2;09/01/2020;1;02/01/2013
139;UGARTE;UGARTE;1640;15163523/19;992 personas;C;INSCRIPCION VENCIDA;82;10/05/2013;59;24/05/2019;149;23/09/2013
140;LP;AV. DE MAYO  ;948;264229728/22;200 personas;C;RENOVADO 202;145;28/08/2013;16;25/08/2022;145;28/08/2013
141;GOLF DE PALERMO;AV. TORNQUIST;6385;28061638/19;950 personas;C;INSCRIPCION VENCIDA;147;10/09/2013;82;19/09/2019;147;10/09/2013
142;ECLIPTICO;AV. RIVADAVIA;7927;31137571/21;743 personas;"""C.C""";RENOVADO 2021;75;23/05/2014;31;22/10/2021;75;23/05/2014
143;JAGER;AV. NICETO VEGA;5422;28384131/19;950 personas;C;INSCRIPCION VENCIDA;107;16/10/2014;85;26/09/2019;107;16/10/2014
144;KUMA ;URIBURU;1073;34610918/22;508 personas;C;RENOVADO 2022;130;05/12/2014;48;14/10/2022;130;05/12/2014
145;VOLT CLUB;AV. CORDOBA;4175/79;36994108/21;350 personas;C;SUSPENDIDO DISFC-2022-49-DGFYC;63;19/06/2015;2;26/01/2022;63;19/06/2015
146;VITA;HONDURAS;5450;27259136/22;756 personas;C;RENOVADO 2022;103;29/10/2015;12;11/08/2022;103;29/10/2015
147;PACHA BS AS;Avda. R OBLIGADO;6151;32156026/15;1942 personas;C;BAJA INSCRIPCION DISP Nº 03/16.;121;23/12/2015;;;;
148;SITGES;AV. CORDOBA;4119;06221943/20;203 personas;CC;INSCRIPCION VENCIDA;33;15/03/2016;33;11/03/2020;33;15/03/2016
149;BLACK ;GORRITI;5516;29474607/19;205 personas;CC;INSCRIPCION VENCIDA;92;23/10/2016;83;20/09/2019;92;23/10/2016
150;JET;"AV. RAFAEL 
OBLIGADO";4801;27581403/22;602 personas;C;RENOVADO 2022;96;07/10/2016;11;11/08/2022;87;03/10/2019
151;ZEGRE;SUCRE;646/8;31500744/21;402 personas;C;RENOVADO 2021;99;20/10/2016;81;27/10/2021;81;28/08/2019
152;NIX PREVIUS;"HIPOLITO
 YRIGOYEN ";847/8;25827534/17;342 personas;C;DENEGATORIA RENOVACION DISFC Nº 108/17;113;25/11/2016;;;113;25/11/2016
153;OLIVIA ´S ;FIGUEROA ALCORTA;6438/42;13064040/18;562 personas;C;INSCRIPCION VENCIDA;57;06/06/2017;57;07/06/2018;57;06/06/2017
154;BRANDY;"AV. RAFAEL 
OBLIGADO";6920;22314831/19;394 personas;C;INSCRIPCION VENCIDA;70;21/07/2017;67;19/07/2019;70;21/07/2017
155;AFRIKA;JUNIN;1787;29530042/21;250 personas;C;RENOVADO 2021;79;17/08/2017;37;28/10/2021;79;17/08/2017
156;ROSE IN RIO/BALI;"AV. RAFAEL 
OBLIGADO";1221;29903477/22;1195 personas;C;RENOVADO 2022;81;25/08/2017;28;22/09/2022;101;25/10/2017
157;BEE;AV. JUAN B. JUSTO ;1579;31478352/19;376 personas;C.C;INSCRIPCION VENCIDA;97;18/10/2017;92;17/10/2019;97;18/10/2017
158;EQUINOXIO;AV. RIVADAVIA;10919/23;32318790/21;1852 personas;C;RENOVADO 2021;45;28/03/2018;43;29/10/2021;45;28/03/2018
159;BNN;"AV. RAFAEL 
OBLIGADO";6201;29903883/22;956 personas;C;RENOVADO 2022;48;13/04/2018;33;28/09/2022;48;13/04/2018
160;HOOD CLUB;AV. CORDOBA;5208/5210;32220707/21;505 personas;C;RENOVADO 2021;60;27/05/2019;50;05/11/2021;60;27/05/2019
161;MOSCU;"AV.RAFAEL 
OBLIGADO";6151;29904320/22;1867 personas;C;RENOVADO 2022;14;31/01/2020;32;28/09/2022;14;31/01/2020
162;MOLY;AV. NICETO VEGA;5534;31595084/21;320 personas;CC;INSCRIPCION 2021;38;28/10/2021;;;10;05/07/2022
163;TEATRO VORTERIX;F. LACROZE ;3453;39672326/21;668 personas;CC;INSCRIPCION 2022;1;04/01/2022;;;1;04/01/2022
